Headline,Content,sentiment,sentiment_label
Allahabad High Court Allows Interfaith Couples To Marry Without Conversion,The Allahabad High Court has observed that the law permits interfaith couples to marry under the Special Marriage Act without conversion.,0.22571428571428573,positive
"Over 20 Cars Block Lucknow Road For Birthday Celebration, Case Filed","A case has been lodged against unidentified persons at Sushant Golf City police station under relevant sections after a video showed more than 20 cars blocking a road for a birthday celebration, the police said.",0.45,positive
Explainer: Can Trump Be President Despite His Criminal Conviction?,"Donald Trump's criminal conviction for illegally covering up a hush money payment to a porn star will not prevent the Republican candidate from pursuing his campaign to retake the White House, even if he were sentenced to prison before the Nov. 5 ele",-0.325,negative
"""My Only Regret Is Trusting General Bajwa"": Former Pak PM Imran Khan","Imprisoned Pakistan Tehreek-e-Insaf (PTI) founder Imran Khan expressed his deepest regret over trusting former army chief General (retd) Qamar Javed Bajwa while in power, Dawn reported.",0.020000000000000007,positive
Biden Secretly Allowed Ukraine To Hit Russia With US Weapons: Officials,"President Joe Biden has quietly allowed Kyiv to fire U.S.-supplied weapons at targets inside Russia but only near the border with the area around Ukraine's northern city of Kharkiv, U.S. officials said on Thursday.",-0.07500000000000001,negative
How Trump's Conviction Will Impact The US Election,"A panel of 12 New Yorkers were unanimous in their determination that Donald Trump is guilty as charged -- but for the impact on his election prospects, the jury is still out.",-0.18181818181818182,negative
Several Killed In US-British Airstrikes On Yemen,"Joint US-British air strikes hit several sites in Yemen including the capital Sanaa and a key port city overnight Thursday to Friday, witnesses and UK authorities said.",-0.05,negative
"Muslim Nurse In US Fired After Calling Israel's War In Gaza ""Genocide""","A New York City hospital fired a Palestinian American Muslim nurse after she called Israel's war in Gaza a ""genocide"" during an acceptance speech for an award for her work with bereaved mothers who lost their children during pregnancy and childbirth.",0.06818181818181818,positive
"Who Is Stormy Daniels, Porn Star At Center Of Trump's Criminal Conviction?","Adult film star Stormy Daniels says Donald Trump told her in 2006 that having sex with him was the only way she would get out of the ""trailer park.""",-0.1,negative
"""I Am A Very Innocent"": Trump Reacts To Verdict In Hush Money Trial","Former president Donald Trump said the ""real verdict"" would be the US election in November after a New York jury convicted him on all charges in his hush money case on Thursday.",0.2465909090909091,positive
"Trump Verdict Shows ""No One Is Above The Law"": Biden Campaign","Donald Trump's conviction by a New York court shows that ""no one is above the law"", his election rival President Joe Biden's campaign said on Thursday.",0.04545454545454545,positive
Trump Convicted On All 34 Charges In Hush Money Criminal Trial,A New York jury convicted Donald Trump on all charges in his hush money case on Thursday in a seismic development barely five months ahead of the election where he seeks to recapture the White House.,-0.05340909090909092,negative
RBI To Allow Opening Of Rupee Account Outside India,The Reserve Bank of India (RBI) on Thursday allowed the opening of rupee accounts outside India as part of its strategic action plan to internationalise the domestic currency.,0.025,positive
RBI To Allow Opening Of Rupee Account Outside India,The Reserve Bank of India (RBI) on Thursday allowed the opening of rupee accounts outside India as part of its strategic action plan to internationalise the domestic currency.,0.025,positive
10 People Die Of Suspected Heatstroke In Odisha,"Ten people died of suspected heatstroke in Odisha's Rourkela city on Thursday, as the mercury shot up in most parts of the eastern state, officials said.",0.25,positive
"Prajwal Revanna Arrested, Here's What Happens Next","Hassan MP Prajwal Revanna, who is accused of sexually assaulting multiple women, has been arrested after his flight from Germany's Munich landed at the Bengaluru airport in the early hours of Friday.",0.15,positive
Pune Court Orders Rahul Gandhi To Appear In Savarkar Defamation Case,"A court here on Thursday issued an order directing Congress leader Rahul Gandhi to appear before it in a complaint filed by Vinayak Damodar Savarkar's grandnephew accusing him of defaming the Hindutva ideologue, the petitioner's lawyer claimed.",-0.3,negative
India Supporting 65 Community Projects Worth $23 Million In Maldives: Report,"India is supporting 65 community development projects worth USD 23 million in the Maldives and steady progress has been achieved in implementing them, the Indian mission said here on Thursday.",0.25333333333333335,positive
England vs Pakistan 4th T20I Live Score and Latest Updates,England vs Pakistan 4th T20I Live Score: Pakistan slumped to 91/5 before rain stopped play in the fourth and final T20I against England. The match had resumed after some light showers.,0.19545454545454546,positive
Boxing World Qualifiers: Perfect Day For India As 4 Pugilists Advance,2022 Commonwealth Games gold medallist Amit Panghal completed a perfect day for the Indian contingent as he got the better of Mexico's Mauricio Ruiz 4-1.,0.6,positive
"Gurmeet Choudhary Says He Is In Shape By ""Muting"" His Taste Buds",The actor recently shared on social media that he hasn't eaten a samosa in 14 years,0.016666666666666666,positive
"Manoj Bajpayee Reveals Why He Rejected Chunnilal's Role In Devdas: ""Always Wanted To Play...""","""I'd wanted to play Devdas since my theatre days, ever since Id watched Dilip Kumars film,"" said Manoj Bajpayee",0.0,neutral
"Suspense Over Virat Kohli's Absence From T20 World Cup Training Ends. Internet Says ""GOAT Is Coming""",It has been reported that Virat Kohli would miss India's warm-up game against Bangladesh on June 1.,-0.20625000000000002,negative
"No More 'Crazy' Rivalries As Best Friends Aryna Sabalenka, Paula Badosa Meet At French Open",It will be Aryna Sabalenka and Paula Badosa's seventh meeting but first at a Grand Slam.,0.1285714285714286,positive
Novak Djokovic Untroubled At French Open As Fans Hit By Alcohol Ban,"Novak Djokovic, 37, chasing a record 25th Grand Slam title, won 6-4, 6-1, 6-2 and goes on to face either Gael Monfils of France or Italian 30th seed Lorenzo Musetti.",0.125,positive
Sanya Malhotra Nominated For Best Actress At New York Indian Film Festival 2024 For Mrs,Not only Sanya but the film's director Arati Kadav has also scored a nomination in the Best Director category,0.5340909090909091,positive
"T20 World Cup: Rishabh Pant Back In Nets For Team India, Says 'Really Enjoying It'","In IPL 2024, Pant scored 446 runs, including three half-centuries, and finished as the highest run-getter for the Delhi Capitals.",0.25,positive
"Pakistan Cricket Board Chairman Says Strategy In Place For T20 World Cup, Urges Fans To Fully Back Team",PCB chairman Mohsin Naqvi made an appeal to the fans to support the team through the tournament.,0.0,neutral
Isha Malviya Gifts Her Dad A Swanky New Car On His Birthday,"""This is for you papa,"" wrote Isha Malviya",0.13636363636363635,positive
"Heeramandi Actor Indresh Malik On Co-Star Sharmin Segal Being Trolled: ""Everybody Has The Right To Criticise""","Indresh Malik said, ""I had a blast working with her""",0.2857142857142857,positive
Former World Cup-Winning Captain Ricky Ponting Predicts Travis Head To Be 'Highest Run-Scorer' Of T20 WC,Head amassed 567 runs at a strike rate of 191.55 for the Sunrisers Hyderabad in the recently-concluded IPL 2024.,0.0,neutral
"Trouble At T20 WC? Rahul Dravid, Rohit Sharma And Co. Concerned Over Average Facilities: Report. ICC Responds","After the heartbreak of the ODI World Cup 2023, where India lost to Australia in the final in Ahmedabad, the 2024 T20 World Cup will provide Rohit Sharma and Co. a shot at redemption",-0.11666666666666665,negative
Treesa Jolly-Gayatri Gopichand upset World No. 2 Baek-Lee; PV Sindhu goes down to Marin,"This is Sindhu's sixth loss on the trot against her arch-rival, dating back to 2018.",-0.07777777777777779,negative
Jaspal Rana Slams NRAI For Sending Olympic-Bound Shooters To Munich WC,The veteran said the event won't aid shooters for Olympic preparations as it is tough to sustain peak performance for long.,-0.14629629629629629,negative
"JioFinance App With UPI, Banking Services Launched in Beta By Jio Financial Services",JioFinance was launched on Thursday in beta form by Jio Financial Services. The ,0.0,neutral
 including UPI transactions, bill payments,0.0,neutral
"Priyanka Chopra ""Was In Tears"" When She Got The Offer Of Her Debut Film, Reveals Mother Madhu Chopra","Madhu Chopra said, ""When I told her to accept the offer, she agreed""",0.0,neutral
England vs Pakistan Live Streaming 4th T20I Live Telecast: Where To Watch Match Live,England vs Pakistan Live Streaming 4th T20I Live Telecast: Where To Watch Match Live,0.13636363636363635,positive
Viral Post About Aamras Croissant Has Internet Divided - Some Think It Could Be Tasty,"As the name suggests, this delicacy features an Indian-style sweetened mango pulp filling inside the flaky French treat.",0.0,neutral
"T20 World Cup 2024 Full Schedule, Warm-Up Matches, Venues, Live Streaming Details",There will be a total of 55 games during the T20 World Cup 2024,0.1621212121212121,positive
Watch: Shilpa Shetty Announces Wrap Up Of KD - The Devil With LOL Video,The film will be released in December,0.8,positive
"HMD Nighthawk, Tomcat and 'Project Fusion' Reportedly in Development: Expected Specifications, Price","HMD Global is developing three new smartphones including two mid-range devices, according to a report. The smartphones are reported to have similar specifications to the Pulse devices. The devices may be named HMD Nighthawk, HMD Tomcat, and HMD Project Fusion, as per the report.",0.009090909090909087,positive
"MediaTek Dimensity 7300, Dimensity 7300X Chipsets With AI Computing, Multitasking Capabilities Unveiled",MediaTek Dimensity 7300 series chipsets were unveiled by the company on Thursday. The Taiwan-based semiconductor giant introduced the Dimensity 7300 and the Dimensity 7300X chipsets with advanced AI computing capabilities and a focus on multitasking. It is built with TSMC's advanced third-generation 4nm process technology and offers up to 25 percent lower power consumption compared to the Dimensity 7050 SoC.,0.225,positive
"New Day, New Pictures Of Kareena Kapoor From Bvlgari Event","A day back, Kareena Kapoor shared a bunch of picures of herself from the event",0.0909090909090909,positive
Do Not Miss These Benefits Of Walking After Eating,Here are 5 reasons why you must go for a walk after eating.,0.0,neutral
"Madhu Chopra Says Parineeti Chopra's Husband Raghav Chadha Is ""Fun, Has A Sense Of Humour""","""Highly educated, well-spoken,"" said Madhu Chopra about Raghav Chadha",0.22999999999999998,positive
Oppo Pad 3 Key Specifications Leak Online; Might Sport 12.1-Inch LCD Screen,"Oppo Pad 3 may launch later this year as a successor to the Oppo Pad 2, which was introduced in China in March 2023. The company has yet to announce the tablet or its moniker but details about it have surfaced online. A tipster has leaked several key features of the purported Oppo Pad 3 which suggests chipset, battery, charging, camera, display and other specifications.",-0.025,negative
"Metaverse in Healthcare Market Size to Touch 71.6 Billion by 2030 Amid Increasing Adoption, Awareness: Report","Metaverse in Healthcare market share is set to reach 7.16 billion in 2030, according to an InsightAce Analytica report that claims virtual ecosystems will also make remote consultations with doctors more effective, especially for those undergoing at-home care. In addition, the technology will let medical students experience sensitive procedures through more visual details via metaverse.",0.2,positive
"To Jennifer Winget, A Birthday Wish From ""Special"" Friend Karan Wahi: ""To All The Conversations, Learnings And Gossip""","Karan wrote, ""You Know what we share is something very special""",0.4107142857142857,positive
"""Aukat Se Bahar"": India, Pakistan Fans In War Of Words Over Video Of Stars Walking Past IPL Final Telecast",The Indian cricket team and Pakistan cricket team will once again face off at the T20 World Cup 2024 on June 9,-0.125,negative
"T20 World Cup 2024: Dates, Groups, Venues - Everything You Need To Know","The USA are hosting a senior ICC event for the first time ever, while the West Indies are hosting the T20 World Cup for the first time since 2010.",0.25,positive
Google Chrome Makes It Easier to Multitask With New Minimised Custom Tabs Feature,"Google Chrome introduced a new feature on Android in the form of Minimised Custom Tabs that turns web pages into floating windows on Wednesday. After a few months of testing, the feature has now been widely rolled out to users with Chrome for Android version 124.",-0.006818181818181827,negative
"Imran Khan On That Silhouette Pic With Girlfriend Lekha Washington: ""I Was Weirded Out""",Imran Khan also spoke about being a doting father to her daughter Imara,0.0,neutral
Samsung's Galaxy AI Is Coming to Galaxy Watches; One UI 6 Watch Beta Testing to Begin in June,"Samsung unveiled its Galaxy AI suite in January with the Galaxy S24 series. The South Korean brand's on-device and cloud-based AI model has since made its way to previous-generation flagship smartphones and tablets in the last few months. Now, Samsung has announced Galaxy AI for its wearables. The Galaxy AI features will be added to the Samsung Health app and Galaxy Watches later this year.",-0.06666666666666667,negative
"Vodafone Idea (Vi) Introduces Prepaid Plans With Free Nexflix Subscription: See Price, Validity","Vodafone Idea (Vi) introduced new prepaid plans that offer a free Netflix subscription on Wednesday. The telecom service provider is bundling a free Netflix Basic plan with specific prepaid recharges for the entire duration of the planâ€™s validity. The plans will also offer telecom benefits including daily internet data balance, free unlimited calling, and 100 free SMS per day.",0.21363636363636362,positive
"Neena Gupta Recalls When She Lost A Role To ""Good Friend"" Sunita Rajwar: ""There's A Bit Of Jealousy""",Neena Guptaâ€™s latest project Panchayat 3 released on Prime Video on May 28,0.6,positive
Mastercard Introduces New Initiative to Simplify Crypto Transactions and Curb User Errors,"Mastercard has initiated a pilot programme to assess the use of its Crypto Credential programme. The aim of this programme is to ensure that people do not send crypto assets to incompatible blockchains and wrong wallets. Crypto exchanges Bit2Me, Lirium, and Mercado have been onboarded by Mastercard to assist in this pilot.",-0.18181818181818182,negative
Have To Go With Whatever Preparation We Get: England Star Ahead of T20 WC,England will fly to Barbados for their T20 World Cup campaign opener against Group B opponents Scotland on June 4.,0.8,positive
"Nakuul Mehta Reacts To Viral Video Of Nandamuri Balakrishna Pushing Anjali: ""Ridiculous""","Nakuul wrote, ""Not one person expressed their discomfort""",-0.3333333333333333,negative
"""Experts Judge You..."": Gautam Gambhir's Fiery Response To Wasim Akram's 'Girgit' Remark",Gautam Gambhir was not in agreement with what Wasim Akram had to say about the critics of Australia fast bowler Mitchell Starc.,0.2,positive
T20 World Cup 2024: Squads Of All Competing Teams,"Team India's squad was announced on April 30, with Rohit Sharma leading the men in blue in search of their second T20 World Cup crown.",0.0,neutral
Watch: How Your Favourite Bihari Sweet Treat Khaja Is Made In This Viral Video,The video has managed to collect a million hearts online. Desis have expressed their love and admiration for this sweet treat.,0.39999999999999997,positive
"Divya Agarwal On Deleting Several Instagram Posts, Including Wedding Pics: ""Have Even Shut Down My PR For Now""","""I want to go low and just work on my craft,"" said Divya",-0.051851851851851864,negative
Mr & Mrs Mahi: The Many Moods Of Janhvi Kapoor In A BTS Video From The Sets,Mr & Mrs Mahi is set to hit the big screens on May 31,0.25,positive
Apple Beats Solo Buds Sale Date Announced; Offline Availability Confirmed,"AppleÂ Beats Solo Buds was launched alongside theÂ Beats Solo 4 earlier in May. TheÂ Beats Solo 4 wireless headphones started shipping in the US from May 2. At the time of launch, the company had revealed the price of the Beats Solo Buds and its availability timeline but did not confirm an exact date. Now, the company has announced the online and offline sale dates of the true wireless earphones.",0.25,positive
"Apple Secures a Deal With OpenAI, Could Be Worth Billions of Dollars: Report","Apple might have secured a deal with the ChatGPT-maker OpenAI that could eventually be worth billions of dollars, as per a report. The Cupertino-based tech giant has reportedly spent the last couple of months in a frenzied race to secure a partner for its artificial intelligence (AI) capability requirements. The company was said to be in discussions with Google and OpenAI, and it appears the latter has now closed the deal.",0.022222222222222227,positive
Apple TV App for Android Smartphones and Tablets Reportedly in Development,"Apple TV app may soon be available on Android smartphones and tablets through an app, according to a report. The Cupertino-based tech giant is reportedly hiring engineers for the software development of an app for the Android platform, which does not have an Apple TV app yet.",0.2,positive
"George RR Martin Slams Game Of Thrones Film And TV Adaptations: ""They Never Make It Better""","""Everywhere you look, there are more screenwriters and producers eager to take great stories and make them their own,"" said George RR Martin",0.4,positive
"Lava Yuva 5G With Unisoc T750 5G SoC, 50-Megapixel Dual Cameras Debuts in India: Price, Specifications","Lava Yuva 5G has been launched in India on Thursday (May 30) as the latest 5G offering by Lava International. The new handset runs on the Unisoc T750 5G platform and it is claimed to be the first device in india to use this octa-core chipset. The Lava Yuva 5G features a hole punch display with 90Hz refresh rate and has a dual rear camera unit led by a 50-megapixel main sensor. It carries a 5,000mAh battery with 18W fast charging support.",0.20883838383838382,positive
Ex-Pakistan Star Shockingly Backs Michael Vaughan's 'IPL Better Than Playing Pakistan' Dig,"Former Pakistan cricket team star Kamran Akmal has expressed his agreement to former England captain Michael Vaughan's ""IPL is better than playing against Pakistan"" comment.",0.0,neutral
